Cast % (All)
 combo 1989+400476 == -2s
 combo 27108+580070 == -2s
 combo 1988+400646 == -2s
 on 5963 == -2s
 on 26212 == -2s
 on 570005 == -2s
 on 570010 == -2s
 on 32107 == -2s
 on 570020 == -2s
 on 570023 == -2s
 on 570027 == -2s
 on 580027 == -2s
 on 580023 == -2s
 on 580020 == -2s
 on 580018 == -2s
 on 580005 == -2s
 on 580010 == -2s
 combo 480024+18981 == -1s
 on 15945 == -1s
 on 26216 == -1s
 on 26216 == -1s
 on 32111 == -1s
 on 32111 == -1s
 combo 313730+310265 == -0.5s
 combo 29607+470264 == -0.5s
 on 20969 == -0.2s
 combo 29371+312839 == -0.2s
 combo 490141+29371 == -0.2s
 on 311006 == -(100*getskilllv("wm_sircleofnature")) ^FF0000หาร 1000^000000s

Cooldown | Meteor Assault
 combo 490231+490395 == -0.4s

Cooldown | Midnight Fallen
 on 840039 == -0.2s

Cooldown | Mighty Smash
 combo 29509+312978 == -0.2s
 combo 29509+313454 == -0.10s

Cooldown | Mystery Illusion
 combo 29371+313448 == -1s

Cooldown | Neutral Barrier
 on 490336 == -5s

Cooldown | New Moon Kick
 combo 29509+312843 == -0.2s

Cooldown | Nyang Grass
 on 19205 == -8000*getskilllv("su_cn_meteor") ^FF0000หาร 1000^000000s
 on 24641 == -4s
 on 400550 == -30s
 on 400086 == -30s
 on 450373 == -2.5s

Cooldown | Oratio
 on 420187 == -1.5s
 combo 29371+312836 == -1.5s

Cooldown | Over Brand
 combo 490104+4875 == -2s
 combo 18823+28551 == -2s
 combo 490104+28551+18823+4875 == 2s
 combo 313348+490601 == -0.10s

Cooldown | Overslash
 combo 470325+530012 == -0.4s
 combo 29509+311894 == -0.3s

Cooldown | Petitio
 on 460095 == -1s
 on 540119 == -0.3s
 combo 29509+312304 == -0.3s
 on 460094 == -0.2s
 combo 29509+312691 == -0.2s
 combo 540081+400537 == -0.2s

Cooldown | Phantom Menace
 combo 610065+400533 == 5s

Cooldown | Pile Bunker
 combo 15149+20777+22074+28369 == 3s
 combo 19170+1549 == -1s

Cooldown | Poison Buster
 on 311229 == -1s
 on 540025 == -1s
 on 540020 == -1s
 on 311159 == -0.5s
 combo 490170+18980 == -0.5s

Cooldown | Praefatio
 on 22189 == -1s

Cooldown | Psychic Stream
 combo 540096+400536 == -700-(2*.@sum) ^FF0000หาร 1000^000000s

Cooldown | Psychic Wave
 combo 29604+300543+480427 == -70*.@r ^FF0000หาร 1000^000000s
 combo 29435+29434 == -2s
 on 400187 == -2s
 combo 29604+26159 == -200*.@r ^FF0000หาร 1000^000000s
 combo 29725+5514 == -200*.@r ^FF0000หาร 1000^000000s
 combo 26159+470298 == -1s
 combo 400262+550075 == -1s
 combo 490206+450112 == -1s
 combo 29725+490034 == -1s
 combo 19483+29683+490257 == -1s
 combo 490517+540024 == -1s
 combo 29604+470259 == -1s
 combo 29683+490591 == -1s
 on 19262 == -1s
 on 19262 == -1s
 on 26118 == -1s
 on 26156 == -1s
 on 26178 == -1s
 on 490038 == -1s
 on 540019 == -1s
 on 540024 == -1s
 on 550012 == -1s
 on 550023 == -1s
 on 550045 == -1s
 on 311042 == -1.5s
 on 550019 == -1.5s
 on 311225 == -1.5s
 combo 313354+490591 == -0.4s

Cooldown | Pure Soul
 on 15431 == 50s
 on 27406 == -4m 50s
 on 27405 == -4m 50s

Cooldown | Purring
 on 15430 == -20s

Cooldown | Radiant Spear
 on 530074 == -0.3s

Cooldown | Raising Dragon
 combo 15081+20719+22026 == -5s
 combo 490206+450097 == -25s

Cooldown | Rampage Blaster
 combo 24598+24584+24585+24586+24587+24588 == -7.5s
 combo 24693+24694+24695+24696+24697+24707 == -7.5s
 combo 490335+490437 == -2s
 on 24478 == -200-(.@r/3)*100 ^FF0000หาร 1000^000000s
 combo 1862+400061 == -1s
 combo 400261+560034 == -1s
 combo 1836+400647 == -1s
 combo 1866+470296 == -1s
 on 1847 == -1s
 on 1864 == -1s
 on 1870 == -1s
 on 311234 == -1s
 on 560008 == -1s
 on 560013 == -1s
 on 560019 == -1s
 on 560021 == -1s
 on 560025 == -1s
 on 560026 == -1s
 on 1873 == -1s
 combo 18979+480149 == -100*(.@r/2) ^FF0000หาร 1000^000000s
 on 490610 == -1.5s
 on 24293 == -1*(2000+500*.@r) ^FF0000หาร 1000^000000s
 on 311166 == -0.5s
 combo 490110+29436 == -0.5s
 on 310544 == -0.5s
 on 420198 == -0.2s

Cooldown | Ray of Genesis
 on 480153 == -500*(.@r/4) ^FF0000หาร 1000^000000s
 on 24583 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 on 311201 == -1s
 on 28974 == -1s
 combo 400262+500051 == -1s
 combo 400482+500019 == -1s
 on 500092 == -1s
 on 28973 == -1s
 on 500074 == -1s
 combo 500030+28922 == -1s
 combo 32350+470318 == -1.5s
 combo 19475+29683+490263 == -1.5s
 on 500025 == -0.5s
 on 500027 == -0.5s
 combo 500092+400530 == -0.5s
 on 500074 == -0.5s
 combo 29601+470256 == -0.2s

Cooldown | Recognized Spell
 on 490103 == 2m

Cooldown | Red Flame Cannon
 combo 29371+312974 == -0.3s

Cooldown | Rhythm Shooting
 combo 29509+312952 == -0.10s

Cooldown | Rich's Coin
 on 470028 == -3s
 on 470027 == -3s
 on 410186 == -3s
 on 410185 == -3s
 combo 29509+312846 == -3s

Cooldown | Ride In Lightening
 on 470182 == -0.5s
 combo 1862+22259 == -0.5s
 combo 22222+15147 == -0.5s

Cooldown | Rock Down
 combo 29371+312031 == -0.3s

Cooldown | Rolling Cutter
 combo 610065+400533 == 2s
 on 610029 == -0.2s
 combo 29509+312835 == -0.2s

Cooldown | Round Trip
 on 450386 == -1s
 on 313343 == -100*(getskilllv("gs_gatlingfever")/2) ^FF0000หาร 1000^000000s
 on 400549 == -0.5s
 on 15432 == -0.5s
 combo 29509+312846 == -0.2s
 combo 490206+450109 == -0.2s

Cooldown | Rush Quake
 combo 29509+311903 == -0.3s

Cooldown | Rush Strike
 combo 400977+620058 == -0.2s

Cooldown | Savage Impact
 combo 29509+311898 == -0.3s
 combo 400979+610085 == -0.2s
 combo 610064+400533 == -0.2s
 combo 400651+610071 == -0.1s

Cooldown | Scar of Tarou
 on 28380 == -5s
 combo 28424+490582 == -10s

Cooldown | Self Destruction
 combo 480024+18974 == -30s
 combo 480161+18974 == -30s
 combo 15079+20719+22024 == -1m
 on 18974 == -10000*(.@r/4) ^FF0000หาร 1000^000000s

Cooldown | Servant Weapon
 combo 29509+312300 == -30s

Cooldown | Severe Rainstorm
 combo 29603+400120+470273 == -6s
 on 490609 == -4s
 on 311241 == -2s
 on 32110 == -2s
 on 570016 == -2s
 on 480064 == -2s
 combo 27107+570070 == -2s
 on 311062 == -2s
 on 26215 == -2s
 on 570033 == -2s
 combo 27107+580070 == -2s
 on 18202 == -2s
 on 18188 == -2s
 on 18183 == -2s
 on 18179 == -2s
 on 18170 == -2s
 on 570022 == -2s
 combo 490401+490431 == -2s
 on 18123 == -2s
 on 580022 == -2s
 on 700055 == -2s
 on 700049 == -2s
 on 700025 == -2s
 combo 580000+450004+470003+480003+490007 == -2s
 on 700013 == -2s
 combo 22174+1746 == -2s
 on 580034 == -2s
 on 580016 == -2s
 combo 22174+450092+1746 == 2s
 combo 480064+450092 == 2s
 combo 18123+450092 == 2s
 on 580019 == -2.5s
 on 700009 == -2.5s
 on 580017 == -2.5s
 on 570017 == -2.5s
 on 570019 == -2.5s
 combo 28573+470098 == -1s
 combo 470269+490526 == -1s
 combo 1988+400648 == -1s
 combo 580008+20838 == -1s
 combo 313730+29488 == -1s
 on 570024 == -1s
 on 580008 == -1s
 on 26213 == -1s
 on 32108 == -1s
 on 700017 == -1s
 on 570008 == -1s
 on 570024 == -1s
 on 700017 == -1s
 on 580024 == -1s
 on 580024 == -1s
 combo 32108+470300 == -1.5s
 combo 400986+580087 == -1.5s
 combo 18981+490401 == -1.5s
 combo 19479+29686+490258 == -1.5s
 combo 400264+700055 == -0.5s
 on 470288 == -0.5s
 on 470287 == -0.5s
 on 311006 == -(100*getskilllv("wm_sircleofnature")) ^FF0000หาร 1000^000000s

Cooldown | Shadow Dance
 combo 29509+312973 == -0.2s

Cooldown | Shadow Stab
 combo 29509+312947 == -0.5s

Cooldown | Shatter Storm
 on 28238 == -2s
 on 311253 == -1s
 on 820007 == -1s
 on 820006 == -1s
 on 820002 == -1s
 on 820000 == -1s
 on 490651 == -100*.@s ^FF0000หาร 1000^000000s
 on 28484 == -100*.@s ^FF0000หาร 1000^000000s

Cooldown | Shield Chain Rush
 combo 29509+313276 == -0.3s

Cooldown | Shield Press
 on 480153 == -300*(.@r/4) ^FF0000หาร 1000^000000s
 combo 29509+313295 == -2s
 combo 400079+32024 == -1s
 combo 19196+29314 == -1s
 combo 13441+400647 == -1.5s
 combo 19196+29315 == -1.5s
 combo 22257+19196 == -0.5s
 combo 19196+29313 == -0.5s
 on 311202 == -0.3s

Cooldown | Shield Shooting
 combo 29509+311894 == -0.3s
 combo 29509+312936 == -0.2s

Cooldown | Shield Spell
 on 470024 == -2s
 on 22207 == -2s
 combo 29509+312837 == -1.5s

Cooldown | Sightless Mind
 on 470177 == 1m

Cooldown | Silentium
 on 450297 == -5s
 on 450297 == -5s
 on 15365 == -5s
 combo 29371+312836 == -14s

Cooldown | Silvervine Stem Spear
 on 450388 == -1s
 combo 24410+24411 == -1s

Cooldown | Sky Moon
 on 540115 == -0.3s

Cooldown | Sky Net Blow
 combo 29509+313317 == -0.2s
 combo 29725+16098 == -0.2s
 combo 490130+29509 == -0.2s

Cooldown | Slug Shot
 on 450386 == -4s
 on 820000 == -2s
 on 29647 == -10s
 combo 29509+313304 == -10s
 combo 29509+29647+313304 == 10s

Cooldown | Sonic Wave
 on 311196 == -1.5s
 on 21052 == -1.5s
 combo 21009+400647 == -1.5s
 combo 29594+470256 == -0.5s
 combo 29509+312831 == -0.2s

Cooldown | Soul Curse
 on 640026 == -2s
 on 550053 == -2s
 combo 400240+550063 == -2s
 combo 400240+550026 == -2s
 on 24660 == -1000-100*(.@r/2) ^FF0000หาร 1000^000000s
 combo 24743+24584+24585+24586+24587+24588 == -1.5s
 combo 24693+24694+24695+24696+24697+24713 == -1.5s

Cooldown | Soul Cutter
 on 28737 == -1s

Cooldown | Soul Destroyer
 combo 490191+18982 == -0.2s
 combo 29596+470273 == -0.10s

Cooldown | Soul Division
 on 313342 == -500*getskilllv("sp_soulreaper") ^FF0000หาร 1000^000000s

Cooldown | Soul Explosion
 on 400547 == -30s
 combo 15433+490084 == -30s

Cooldown | Soul Gathering
 combo 29371+313267 == -1.5s
 combo 550155+400544 == -0.3s

Cooldown | Soul Reaper
 combo 24743+24584+24585+24586+24587+24588 == -5s
 on 400547 == -30s
 on 400083 == -30s
 combo 15433+490084 == -30s
 on 24415 == -3000-1000*(.@r/2) ^FF0000หาร 1000^000000s
 combo 24414+24415 == -2s
 on 15433 == -1m
 combo 19397+29584 == -10s
 combo 19397+29583 == -10s

Cooldown | Soul Strike
 combo 400982+540110 == 2s

Cooldown | Soul Vulcan Strike
 on 640067 == -0.2s
 combo 640054+400535 == -0.2s

Cooldown | Spark Blaster
 on 590111 == -0.2s
 combo 590079+400531 == -0.2s
 combo 29509+312959 == -0.10s

Cooldown | Spiral Pierce
 on 1490 == 20s

Cooldown | Spiral Pierce Max
 combo 29509+313276 == -0.3s

Cooldown | Spiral Shooting
 combo 29509+312970 == -0.3s

Cooldown | Spirit of Savage
 on 19205 == -4000*getskilllv("su_lunaticcarrotbeat") ^FF0000หาร 1000^000000s
 combo 29671+29669 == -1s

Cooldown | Spore Explosion
 combo 19477+490260 == -300*(.@r/2) ^FF0000หาร 1000^000000s
 on 311212 == -2s
 on 311149 == -2s
 combo 32286+480024 == -2s
 combo 18977+490240 == -2s
 on 24568 == -200-100*(.@r/3) ^FF0000หาร 1000^000000s
 combo 29602+32351 == -200*.@r ^FF0000หาร 1000^000000s
 on 32351 == -1s
 combo 16028+400648 == -1s
 combo 18977+490412 == -0.5s

Cooldown | Star Light Kick
 combo 401120+540122 == -0.3s

Cooldown | Stone Skin
 combo 4302+450225 == -2000*.@r ^FF0000หาร 1000^000000s

Cooldown | Stoop
 combo 15430+27152 == -6s
 on 400550 == -5s
 combo 27152+450388 == -4s
 combo 4097+450388 == -3s
 combo 4097+15430 == -3s

Cooldown | Storm Cannon
 combo 29371+312473 == -0.3s
 combo 29371+312928 == -0.2s

Cooldown | Storm Gust
 on 400551 == -5s
 on 400087 == -5s

Cooldown | Summon Elemental Ardor
 on 460097 == -5m

Cooldown | Summon Elemental Procella
 on 460097 == -5m

Cooldown | Summon Fire Spirit Agni
 on 460097 == -40s

Cooldown | Summon Water Spirit Aqua
 combo 32278+4318 == -30s
 on 470192 == -25s

Cooldown | Summon Wind Spirit Ventus
 on 460097 == -40s
 on 450242 == -25s

Cooldown | Swirling Petal
 on 311259 == -2s
 on 650024 == -2s
 on 650022 == -2s
 on 650018 == -2s
 on 650013 == -2s
 on 650008 == -2s
 on 650003 == -2s
 combo 400987+650058 == -2.5s
 on 13346 == -1s
 combo 13337+19210 == -1s
 combo 490190+650004 == -1s
 combo 13337+420310 == -1s
 on 13345 == -1s
 combo 13332+15178+20821 == -1s
 on 650029 == -1s
 on 400548 == -1s
 on 650004 == -1s
 on 400084 == -0.5s
 combo 22257+19203 == -0.5s
 combo 29509+313294 == -0.3s
 combo 22234+13340 == -0.3s
 combo 29509+312845 == -0.2s
 on 490654 == -0.10s
 on 32262 == -0.10s

Cooldown | Tasty Shrimp Party
 on 19205 == -4000*getskilllv("su_bunchofshrimp") ^FF0000หาร 1000^000000s
 on 310564 == -2s
 on 310564 == -2s
 on 310564 == -1s
 on 310564 == -1s
 on 310175 == -1s
 on 310175 == -1.5s
 on 310175 == -0.5s

Cooldown | Terra Drive
 combo 29371+312037 == -0.5s

Cooldown | Tetra Vortex
 on 19193 == -500*(getskilllv("wz_meteor")+getskilllv("wz_vermilion")) ^FF0000หาร 1000^000000s

Cooldown | The Vigilante at Night
 combo 29509+312971 == -0.3s

Cooldown | Thundering Cannon
 combo 29371+312974 == -0.3s

Cooldown | Tiger Cannon
 on 311233 == -1s
 on 560027 == -1s
 on 560024 == -1s
 on 560017 == -1s
 on 560012 == -1s
 on 560009 == -1s
 on 560007 == -1s
 on 560002 == -1s
 combo 1865+470296 == -1s
 combo 1846+420310 == -1s
 on 560020 == -0.5s
 on 560018 == -0.5s
 combo 29680+490612 == -0.5s
 combo 4123+470187 == -0.5s

Cooldown | Triple Laser
 combo 29509+312959 == -0.10s

Cooldown | Tuna Party
 on 28381 == -7s
 combo 28423+490582 == -7s
 on 28423 == -5s
 on 310564 == -2s
 on 310564 == -2s
 on 310564 == -1s
 on 310564 == -1s
 on 310175 == -1s
 on 420302 == -1s
 on 310175 == -1.5s
 on 310175 == -0.5s

Cooldown | Unlimited
 combo 29509+312833 == -4m
 on 490145 == -45s
 combo 311359+29431 == -45s
 combo 29509+490367 == -45s
 on 310334 == -3m
 on 20931 == -3m
 combo 18975+490606 == 3m
 on 450293 == -30s
 on 400203 == -2m 30s
 on 490609 == -1m 30s
 combo 490401+490431 == -1m 30s
 on 480313 == -1m 30s
 on 480314 == -1m 30s
 on 420164 == -1m
 combo 29509+313301 == -1m
 combo 29725+480050 == -18s
 combo 29600+18187 == -15000*.@r ^FF0000หาร 1000^000000s

Cooldown | Vacuum Extreme
 combo 32285+480024 == -1s

Cooldown | Varetyr Spear
 combo 490289+490419 == -4s
 on 490608 == -4s
 on 311227 == -2s
 on 550013 == -2s
 on 26159 == -2s
 on 550019 == -2s
 on 550046 == -2s
 on 550023 == -2.5s
 on 22243 == -1s
 combo 480166+18980 == -1s
 combo 400440+550019 == -1s
 combo 490289+490419 == -1s
 combo 29371+312838 == -1s
 on 19426 == -1s
 on 310312 == -1s
 on 410313 == -1s
 on 410314 == -1s
 on 450242 == -1s
 on 490453 == -1s
 combo 29371+313310 == -1s
 combo 490168+18980 == -100*(.@r/2) ^FF0000หาร 1000^000000s
 combo 470327+550023 == -1.5s
 on 28394 == -0.5s
 combo 490168+18980 == -0.4s

Cooldown | Vulcan Arrow
 on 24505 == -200-(.@r/3)*100 ^FF0000หาร 1000^000000s
 combo 32108+470300 == -0.7s
 combo 470269+490527 == -0.7s
 combo 28536+470098 == -0.7s
 on 32117 == -0.10s
 on 26221 == -0.10s

Cooldown | Warmer
 on 310149 == -4s
 on 310149 == -2s
 on 310149 == -1s
 on 28567 == -15s
 on 28394 == -15s
 combo 29435+29433 == -15s

Cooldown | Water Insignia
 on 410314 == -55s
 on 410313 == -55s

Cooldown | Wild Fire
 combo 29509+313476 == -0.3s

Cooldown | Wild Shot
 combo 800042+400542 == -0.2s

Cooldown | Wind Cutter
 on 5899 == -1.8s

Delay % (All)
 on 314672 == -getskilllv("wl_chainlightning")
 on 310886 == -getskilllv("wl_chainlightning")
 on 314186 == -getskilllv("sc_shadowform")
 on 311359 == -getskilllv("ra_rangermain")/2
 on 311433 == -getskilllv("gc_researchnewpoison")/2
 on 310191 == -getskilllv("asc_breaker")
 combo 19266+19267 == getequiprefinerycnt(eqi_head_top)*-1
 combo 15212+20856 == -getequiprefinerycnt(eqi_garment)
 on 20014910 == -99
 on 20004418 == -99
 on 20014485 == -99
 on 20004452 == -99
 on 20011957 == -99
 on 20010454 == -99
 on 20018144 == -99
 on 20006915 == -99
 on 20018005 == -99
 on 20005484 == -99
 on 20018216 == -99
 on 20011460 == -99
 on 20012971 == -99
 on 20011463 == -99
 on 20013921 == -99
 on 20018268 == -99
 on 20014982 == -99
 on 20018243 == -99
 on 20010932 == -99
 on 20010426 == -98
 on 20018204 == -98
 on 20001455 == -98
 on 20002987 == -98
 on 20000442 == -98
 on 20012979 == -98
 on 20000952 == -98
 on 20013956 == -98
 on 20014497 == -98
 on 20015967 == -98
 on 20011455 == -98
 on 20013917 == -98
 on 20013961 == -97
 on 20006962 == -97
 on 20018091 == -97
 on 20012447 == -97
 on 20003441 == -97
 on 20006949 == -97
 on 20010468 == -97
 on 20001904 == -97
 on 20005905 == -97
 on 20018190 == -97
 on 20002924 == -97
 on 20015473 == -97
 on 20005991 == -97
 on 20009968 == -97
 on 20009428 == -97
 on 20018393 == -97
 on 20015971 == -97
 on 20008492 == -97
 on 20002926 == -97
 on 20009433 == -97
 on 20009487 == -96
 on 20006905 == -96
 on 20003925 == -96
 on 20003998 == -96
 on 20013432 == -96
 on 20010485 == -96
 on 20006925 == -96
 on 20006975 == -96
 on 20004464 == -96
 on 20004972 == -96
 on 20018466 == -96
 on 20011923 == -95
 on 20012901 == -95
 on 20005958 == -95
 on 20008980 == -95
 on 20013974 == -95
 on 20018021 == -95
 on 20012434 == -95
 on 20004468 == -95
 on 20006447 == -95
 on 20000477 == -95
 on 20011937 == -95
 on 20013917 == -95
 on 20003403 == -95
 on 20011974 == -94
 on 20008492 == -94
 on 20001995 == -94
 on 20013494 == -94
 on 20018259 == -94
 on 20013943 == -94
 on 20014910 == -94
 on 20018246 == -94
 on 20015406 == -94
 on 20000488 == -94
 on 20010432 == -94
 on 20013437 == -94
 on 20005955 == -94
 on 20000959 == -94
 on 20010934 == -94
 on 20002941 == -93
 on 20014975 == -93
 on 20018155 == -93
 on 20013992 == -93
 on 20014921 == -93
 on 20010446 == -93
 on 20004998 == -93
 on 20007993 == -93
 on 20018404 == -93
 on 20005951 == -93
 on 20015493 == -93
 on 20000449 == -93
 on 20004404 == -93
 on 20010491 == -93
 on 20011959 == -93
 on 20007967 == -93
 on 20007453 == -93
 on 20007483 == -93
 on 20000481 == -93
 on 20018015 == -93
 on 20003971 == -93
 on 20018494 == -92
 on 20002918 == -92
 on 20006931 == -92
 on 20012489 == -92
 on 20002483 == -92
 on 20006467 == -92
 on 20011933 == -92
 on 20006965 == -92
 on 20002426 == -92
 on 20015900 == -92
 on 20018269 == -92
 on 20010905 == -92
 on 20003904 == -92
 on 20007448 == -92
 on 20007483 == -92
 on 20015400 == -92
 on 20015494 == -92
 on 20000469 == -92
 on 20015988 == -92
 on 20009450 == -92
 on 20018056 == -92
 on 20011480 == -92
 on 20007482 == -92
 on 20011986 == -91
 on 20018038 == -91
 on 20018033 == -91
 on 20008402 == -91
 on 20013445 == -91
 on 20013495 == -91
 on 20001480 == -91
 on 20011983 == -91
 on 20007979 == -91
 on 20007962 == -91
 on 20006455 == -91
 on 20014458 == -91
 on 20003407 == -91
 on 20011409 == -91
 on 20009423 == -91
 on 20011471 == -91
 on 20008913 == -91
 on 20008991 == -91
 on 20009994 == -91
 on 310334 == -90
 on 20013986 == -90
 on 20001445 == -90
 on 20006440 == -90
 on 20005902 == -90
 on 20001433 == -90
 on 20009416 == -90
 on 20010420 == -90
 on 20007459 == -90
 on 20002458 == -90
 on 20011416 == -90
 on 20002469 == -90
 on 20005401 == -90
 on 29300 == -90
 on 20013906 == -90
 on 20010966 == -90
 on 20003911 == -90
 on 20005678 == -9
 on 20004176 == -9
 on 20014151 == -9
 on 20004129 == -9
 on 20014143 == -9
 on 20004162 == -9
 on 20014116 == -9
 on 20006164 == -9
 on 20000137 == -9
 on 20016737 == -9
 on 20004127 == -9
 on 20003127 == -9
 on 20005173 == -9
 on 20013651 == -9
 on 20016915 == -9
 on 20016845 == -9
 on 20004682 == -9
 on 20004695 == -9
 on 20000634 == -9
 on 20000611 == -9
 on 20003619 == -9
 on 20016708 == -9
 on 20016774 == -9
 on 20009183 == -9
 on 311456 == -9
 on 20012162 == -9
 on 20009698 == -9
 on 20010151 == -9
 on 20010184 == -9
 on 20010187 == -9
 on 20008154 == -9
 on 20008145 == -9
 on 20010607 == -9
 on 20010658 == -9
 on 20011113 == -9
 on 20011641 == -9
 on 20007189 == -9
 on 20007180 == -9
 on 20007161 == -9
 on 20001617 == -9
 on 20012648 == -9
 on 311451 == -9
 on 20018036 == -89
 on 20012469 == -89
 on 20007464 == -89
 on 20009922 == -89
 on 20007423 == -89
 on 20011930 == -89
 on 20005487 == -89
 on 20009982 == -89
 on 20009966 == -89
 on 20011945 == -89
 on 20002964 == -89
 on 20004421 == -89
 on 20002497 == -89
 on 20012915 == -89
 on 20005465 == -89
 on 20000457 == -89
 on 20007989 == -89
 on 20015402 == -89
 on 20018396 == -88
 on 20006499 == -88
 on 20000927 == -88
 on 20009921 == -88
 on 20013985 == -88
 on 20011995 == -88
 on 20000482 == -88
 on 20000981 == -88
 on 20014470 == -87
 on 20005417 == -87
 on 20013996 == -87
 on 20014497 == -87
 on 20000478 == -87
 on 20012949 == -87
 on 20003982 == -87
 on 20018019 == -87
 on 20000900 == -87
 on 20015932 == -87
 on 20018448 == -87
 on 20006957 == -87
 on 20015998 == -86
 on 20008422 == -86
 on 20000435 == -86
 on 20003945 == -86
 on 20010955 == -86
 on 20011943 == -86
 on 20002410 == -86
 on 20006478 == -86
 on 20002982 == -86
 on 20011902 == -86
 on 20018338 == -86
 on 20018310 == -86
 on 20003479 == -86
 on 20015986 == -86
 on 20000459 == -86
 on 20008934 == -86
 on 20009911 == -86
 on 20015418 == -86
 on 20005407 == -86
 on 20003493 == -86
 on 20018189 == -86
 on 20015444 == -86
 on 20003998 == -86
 on 20018232 == -86
 on 20013457 == -86
 on 20018264 == -85
 on 20008965 == -85
 on 20000977 == -85
 on 20002975 == -85
 on 20018303 == -85
 on 20004433 == -85
 on 20003976 == -85
 on 20015435 == -85
 on 20000975 == -85
 on 20007983 == -85
 on 20001402 == -85
 on 20011461 == -85
 on 20012937 == -85
 on 20014487 == -85
 on 20010911 == -85
 on 20005468 == -85
 on 20001464 == -85
 on 20006971 == -85
 on 20003459 == -85
 on 20013447 == -85
 on 20002498 == -85
 on 20007421 == -84
 on 20003485 == -84
 on 20009967 == -84
 on 20001974 == -84
 on 20012461 == -84
 on 20008996 == -84
 on 20001923 == -84
 on 20007903 == -84
 on 20007426 == -84
 on 20018275 == -84
 on 20010415 == -84
 on 20010489 == -84
 on 20014927 == -84
 on 20003927 == -84
 on 20012955 == -84
 on 20003958 == -83
